,year,total_screens,jp_movies,foreign_movies,total_movies,moviegoers,ticket_price,jp_revenue,foreign_revenue,total_revenue,jp_share,foreign_share,cinecons_screens,non_cinecons_screens
0,2000,1123,282,362,644,135390,1262,54334,116528,170862,31.8,68.2,1123,1123
1,2001,1259,281,349,630,163280,1226,78144,122010,200154,39,61,1259,1259
2,2002,1396,293,347,640,160767,1224,53294,143486,196780,27.1,72.9,1396,1396
3,2003,1533,287,335,622,162347,1252,67125,136134,203259,33,67,1533,1533
4,2004,1766,310,339,649,170092,1240,79054,131860,210914,37.5,62.5,1766,1766
5,2005,1954,356,375,731,160453,1235,81780,116380,198160,41.3,58.7,1954,1954
6,2006,2230,417,404,821,164585,1233,107944,94990,202934,53.2,46.8,2230,2230
7,2007,2454,407,403,810,163193,1216,94645,103798,198443,47.7,52.3,2454,2454
8,2008,2659,418,388,806,160491,1214,115859,78977,194836,59.5,40.5,2659,2659
9,2009,2723,448,314,762,169297,1217,117309,88726,206035,56.9,43.1,2723,2723
10,2010,2774,408,308,716,174358,1266,118217,102521,220737,53.6,46.4,2774,2774
11,2011,2774,441,358,799,144726,1252,99531,81666,181197,54.9,45.1,2774,2774
12,2012,2765,554,429,983,155159,1258,128181,67009,195190,65.7,34.3,2765,2765
13,2013,2831,591,526,1117,155888,1246,117685,76552,194237,60.6,39.4,2831,2831
14,2014,2911,615,569,1184,161116,1285,120715,86319,207034,58.3,41.7,2911,2911
15,2015,2996,581,555,1136,166630,1303,120367,96752,217119,55.4,44.6,2996,2996
16,2016,3045,610,539,1149,180189,1307,148608,86900,235508,63.1,36.9,3045,3045
17,2017,3096,594,593,1187,174483,1310,125483,103089,228572,54.9,45.1,3096,3096
18,2018,3150,613,579,1192,169210,1315,122029,100482,222511,54.8,45.2,3150,3150
19,2019,3165,689,589,1278,194910,1340,142192,118988,261180,54.4,45.6,3165,3165
20,2020,3192,506,511,1017,106137,1350,109276,34009,143285,76.3,23.7,3192,3192
21,2021,3229,490,469,959,114818,1410,128339,33554,161893,79.3,20.7,3229,3229
22,2022,3228,634,509,1143,152005,1402,146579,66532,213111,68.8,31.2,3228,3228
